change_id,source_rows,excel_id,module,source_request,normalized_request,source_conflict,confirmation_required,priority,status,production_status,route_ids,video_requirement_ids,react_files,db_objects,action_ids,unit_test_ids,playwright_test_ids,selenium_test_ids,dependency_ids,blocker_type,blocker_reason,client_question,acceptance_criteria,implementation_sha,functional_fingerprint,certification_status,notes
"CR-001","2","1","Pacientes","Agregar documento DUI","DUI en la plantilla de nuevo paciente","{""detected"":false,""detail"":null}","false","Alta","IMPLEMENTED_DEMO_ONLY","DEMO_LOCAL_ONLY","ROUTE-PATIENTS","CH02-F005","packages/contracts/src/index.ts|apps/web/src/app/(workspace)/patients/page.tsx","","PATIENT-DOCUMENT-TYPE","vitest:ch02-patient-form","","SEL-PAT-DOCUMENT","B1","","","","DUI en la plantilla de nuevo paciente","ec2c984b191ca8fa78dfc9656b35930cf83bdc76","90dc252c1c4cef3bf92c0989f51e44d9e5bcc56a9d424cda611d64fe63e8a15f","LOCAL_REACT_VERIFIED_SELENIUM","DUI conserva validación y formulario React. Hay proveedor Mongo real con persistencia de pacientes; la prueba A/B/C usa identificadores QA OTHER, no acredita todas las variantes documentales."
"CR-002","3","2","Pacientes","Agregar carnet de residente","Agregar tipo de documento Carnet de residente","{""detected"":false,""detail"":null}","false","Media","IMPLEMENTED_DEMO_ONLY","DEMO_LOCAL_ONLY","ROUTE-PATIENTS","CH02-F005","packages/contracts/src/index.ts|apps/web/src/app/(workspace)/patients/page.tsx","","PATIENT-DOCUMENT-TYPE","vitest:cr002-resident-card","","","B1","INTEGRATION","La UI y el contrato existen en modo demo, pero la certificación de persistencia por organización requiere un proyecto Supabase de prueba con RLS y dos sesiones autorizadas.","¿Qué proyecto de prueba, organizaciones y cuentas de dos roles autorizados se usarán para certificar RLS y visibilidad multiusuario del Carnet de residente?","Agregar tipo de documento Carnet de residente","ec2c984b191ca8fa78dfc9656b35930cf83bdc76","90dc252c1c4cef3bf92c0989f51e44d9e5bcc56a9d424cda611d64fe63e8a15f","LOCAL_REACT_VERIFIED_SELENIUM","Carnet de residente se crea, recarga y edita en pruebas React demo. El proveedor Mongo ya está conectado localmente; la variante de documento requiere repetición específica en preview."
"CR-003","4","3","Pacientes · Exportación","que se visualicen en orden todos los pacientes","Definir alcance y exportar pacientes autorizados ordenados","{""detected"":false,""detail"":null}","false","Media","PARTIAL","PARTIAL","ROUTE-PATIENTS","CH01-F005|CH02-F002","apps/web/src/app/(workspace)/patients/page.tsx","","PATIENT-EXPORT-CSV|PATIENT-EXPORT-XLSX","","playwright:ch01-xlsx-export","SEL-PAT-EXPORT","B1","CLIENT_DEFINITION","La exportación local respeta la vista filtrada/ordenada, pero no existe una definición aprobada del conjunto completo autorizado, columnas, destinatarios, formato ni auditoría de exportación de pacientes.","¿Qué pacientes, columnas, orden, formato, destinatarios y evidencia de auditoría están autorizados para una exportación completa?","Definir alcance y exportar pacientes autorizados ordenados","4b2f2b8275a19268fecd1cceddbbb19fd3ec6cce","39f4840ccdd054a33fbb5de03c89baba525abb096d2f67f09a09fc4b581830e7","PARTIAL_CLIENT_DEFINITION","CSV/XLSX exporta los resultados filtrados y ordenados, no todo el universo autorizado. El botón se identifica como Exportar Excel. La descarga OOXML está probada; el alcance completo continúa parcial."
"CR-004","5","4","Pacientes · Contactos","agregar el documento del responsable (DUI)","Guardar tipo y número de documento del responsable","{""detected"":false,""detail"":null}","false","Alta","PARTIAL","PARTIAL","ROUTE-PATIENTS","CH02-F013","packages/contracts/src/index.ts|apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/server/mongo-files.ts","supabase/migrations/202609020001_b1_patient_contact_documents.sql","PATIENT-CONTACT-ADD","","","SEL-PAT-CONTACTS","B1","INTEGRATION","El formulario, contrato y migración existen en demo; falta certificar el documento administrativo y su auditoría bajo RLS con dos sesiones de una organización de prueba.","¿Qué proyecto de prueba, organizaciones y cuentas de dos roles autorizados se usarán para certificar RLS y auditoría del documento de responsable?","Guardar tipo y número de documento del responsable","","","NOT_CERTIFIED","Tipo y número del documento del responsable se validan como pareja y persisten en la prueba React. Se añadieron controles de adjunto para paciente y responsable; el servicio privado guarda bytes en Atlas y deniega descargas de otra organización. Falta repetir ambos adjuntos desde el formulario y en preview conectado."
"CR-005","6","5","Administración · Médicos y recursos","cambiar +nuevo profesional a nuevo recurso y agregar + médico","Separar altas, rutas y modelos de médico y recurso","{""detected"":false,""detail"":null}","false","Alta","IMPLEMENTED_DEMO_ONLY","DEMO_LOCAL_ONLY","ROUTE-DOCTORS","","apps/web/src/app/(workspace)/doctors/page.tsx|apps/web/src/app/(workspace)/clinical/nursing/page.tsx","","DOCTOR-CREATE|DOCTOR-RESOURCE-CREATE","","playwright:cr005-independent-doctor-resource","SEL-DOCTOR-LIFECYCLE","B2","","","","Separar altas, rutas y modelos de médico y recurso","ec2c984b191ca8fa78dfc9656b35930cf83bdc76","16bca8397e5a3be9f0b3e95415a636be221145ee82d5e077fdddd6e95aacb620","LOCAL_REACT_VERIFIED_SELENIUM_PENDING","Médico y recurso conservan altas separadas. Se agrega Equipo de enfermería con alta de cuenta NURSE por encargada, probada contra Mongo; el servidor impide que la encargada inyecte ADMIN. La prueba de médico continúa siendo demo."
"CR-006","7","6","Administración · Médicos","JVPM, DUI, archivos, dirección y edición de médico","Alta/edición de médico con adjuntos privados y auditoría","{""detected"":false,""detail"":null}","false","Alta","PARTIAL","PARTIAL","ROUTE-DOCTORS","","apps/web/src/app/(workspace)/doctors/page.tsx|apps/web/src/lib/doctor-catalog.ts","supabase/migrations/202608260001_initial_schema.sql","DOCTOR-CREATE|DOCTOR-ATTACHMENTS|DOCTOR-SAVE|DOCTOR-EDIT|DOCTOR-EDIT-SAVE","vitest:cr006-doctor-attachment-metadata","playwright:cr006-doctor-save-reload-edit","SEL-DOCTOR-LIFECYCLE","B2","INTEGRATION","Los adjuntos de médicos quedan limitados a metadatos demo: faltan Storage privado, RLS, descarga autorizada, retención y auditoría de archivos clínico-administrativos.","¿Qué proyecto de prueba, bucket privado, roles, política de retención y evidencia de auditoría aprobarán los adjuntos de médicos?","Alta/edición de médico con adjuntos privados y auditoría","f13c8325ffbd841d3d9e0fdfb71add8ff1fd47c5","5646a8d04a279b837b636f30a9bfe9514797e1d62b8ff5c27c66b176b544e01b","PARTIAL","Alta y edición de médico se verifican en demo. El servicio genérico de adjuntos privados ya funciona contra Atlas, pero la integración específica de expedientes de médicos continúa pendiente."
"CR-007","8","7","Administración · Profesionales","agregar categorías de especialidades solicitadas","Catálogo buscable y persistente de especialidades/profesiones","{""detected"":false,""detail"":null}","false","Media","IMPLEMENTED_DEMO_ONLY","DEMO_LOCAL_ONLY","ROUTE-DOCTORS","","apps/web/src/app/(workspace)/doctors/page.tsx|apps/web/src/lib/doctor-catalog.ts|apps/web/src/components/operational-catalogs.tsx|apps/web/src/server/mongo-operations.ts","","DOCTOR-SPECIALTY-SELECT","vitest:cr007-professional-specialties","playwright:cr007-professional-specialties","SEL-DOCTOR-LIFECYCLE","B2","","","","Catálogo buscable y persistente de especialidades/profesiones","ec2c984b191ca8fa78dfc9656b35930cf83bdc76","6539bc93237c123f4ac51838254fa72d9b80dad99b05d4921ee26942a90418ff","LOCAL_REACT_VERIFIED_SELENIUM_PENDING","Catálogos operativos permite a la encargada configurar especialidades, dosis, medicamentos y seguros. El selector de médicos consulta las especialidades compartidas en modo Mongo. Medicamento/dosis y permisos se probaron con Atlas; catálogo institucional completo y preview conectado pendientes."
"CR-008","9","8","Hospitalización","agregar archivo, ej. Orden médica","Adjuntar archivo privado a hospitalización con auditoría","{""detected"":false,""detail"":null}","false","Alta","PARTIAL","PARTIAL","ROUTE-HOSPITALIZATIONS","CH03-F005","apps/web/src/app/(workspace)/hospitalizations/page.tsx|apps/web/src/server/mongo-files.ts","supabase/migrations/202608260001_initial_schema.sql","HOSPITALIZATION-CREATE","","","SEL-HOSP-CREATE","B3","INTEGRATION","Los adjuntos privados requieren un bucket de Storage privado, políticas RLS, metadatos auditables y enlaces de descarga autorizados; el navegador no conserva bytes.","¿Qué proyecto de prueba, bucket privado, roles y política de retención/autorización aprobarán los adjuntos de hospitalización?","Adjuntar archivo privado a hospitalización con auditoría","","","NOT_CERTIFIED","Existe control de adjunto de hospitalización y servicio de bytes privado Mongo, con descarga autorizada y 404 entre organizaciones. La prueba integral de carga desde esta pantalla sigue pendiente; no se certifica por existir la UI."
"CR-009","10","9","Hospitalización","cambiar fecha de inicio por fecha de ingreso y marcar más de una fecha","Ingreso/egreso; períodos múltiples sólo tras definición","{""detected"":false,""detail"":null}","false","Media","PARTIAL","PARTIAL","ROUTE-HOSPITALIZATIONS","CH03-F004|CH03-F005","packages/contracts/src/index.ts|apps/web/src/app/(workspace)/hospitalizations/page.tsx","","HOSPITALIZATION-CREATE","vitest:ch03-hospitalization-filters","playwright:cr009-admission-periods","SEL-HOSP-CREATE|SEL-B3-HOSPITALIZATION-PERIODS","B3","CLIENT_DEFINITION","El formulario soporta ingreso, egreso y períodos múltiples sintéticos, pero el cliente no ha definido si cada período representa reingreso, traslado, cierre, sus permisos ni sus efectos clínicos o financieros.","¿Qué representa cada período adicional, qué roles pueden crearlo/corregirlo y qué efectos de reingreso, traslado, cierre, auditoría y facturación se autorizan?","Ingreso/egreso; períodos múltiples sólo tras definición","","","NOT_CERTIFIED","La prueba React conserva múltiples períodos de ingreso/egreso. Al crear hospitalización se asignan recursos vinculados a usuarios NURSE reales; la prueba Mongo crea, edita y relee el caso. 'Selección de fin' requiere identificar el control antes de retirar fechas necesarias."
"CR-010","11","10","Operación","Agregar puntual con plantilla de hospitalización","Definir entidad Puntual, campos, duración, estados y relación","{""detected"":false,""detail"":null}","true","Media","BLOCKED_CLIENT","BLOCKED_CLIENT","ROUTE-AGENDA","","apps/web/src/app/(workspace)/agenda/page.tsx","","","","","","B3","CLIENT_DEFINITION","¿Qué entidad es Puntual y cuáles son sus campos, duración y estados?","¿Qué entidad es Puntual y cuáles son sus campos, duración y estados?","Definir entidad Puntual, campos, duración, estados y relación","","","NOT_CERTIFIED","No se sabe si Puntual es hospitalización, visita, turno o servicio."
