chapter_event_id,timestamp,frame_path,detail_crop_path,screen_or_module,visible_change,controls_or_data,possible_functionality,classification,confidence,current_platform_status,platform_evidence,notes
CH08-E0001,00:16:16.000,references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0001_00h16m16s000ms_abrupt_change.jpg,,Perfil administrativo / Cuentas por cobrar,CH08-E0001 @ 00:16:16.000: Sobre la tabla PIC Ejecución aparece la superposición Procesando.,PIC Ejecución; Procesando,Sobre la tabla PIC Ejecución aparece la superposición Procesando.,VISIBLE,HIGH,NOT_TESTABLE,Auditoría de evidencia fuente; no se ejecutó comparación funcional de la plataforma en este subencargo de solo lectura.,Evidencia visual revisada individualmente: references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0001_00h16m16s000ms_abrupt_change.jpg.
CH08-E0002,00:16:16.400,references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0002_00h16m16s400ms_abrupt_change.jpg,,Perfil administrativo / Cuentas por cobrar,"CH08-E0002 @ 00:16:16.400: El modal Detalles de Hospitalización muestra paciente, DUI/NIT, hospitalización, estado y el identificador del perfil administrativo de ejecución.",Detalles de Hospitalización; paciente; DUI/NIT; estado; perfil administrativo,"El modal Detalles de Hospitalización muestra paciente, DUI/NIT, hospitalización, estado y el identificador del perfil administrativo de ejecución.",VISIBLE,HIGH,NOT_TESTABLE,Auditoría de evidencia fuente; no se ejecutó comparación funcional de la plataforma en este subencargo de solo lectura.,Evidencia visual revisada individualmente: references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0002_00h16m16s400ms_abrupt_change.jpg.
CH08-E0003,00:16:17.000,references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0003_00h16m17s000ms_stable_change.jpg,references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/detail_crops/CH08-E0003_00h16m17s000ms_DETAIL.jpg,Perfil administrativo / Cuentas por cobrar,"CH08-E0003 @ 00:16:17.000: El modal Detalles de Hospitalización muestra paciente, DUI/NIT, hospitalización, estado y el identificador del perfil administrativo de ejecución.",Detalles de Hospitalización; paciente; DUI/NIT; estado; perfil administrativo,"El modal Detalles de Hospitalización muestra paciente, DUI/NIT, hospitalización, estado y el identificador del perfil administrativo de ejecución.",VISIBLE,HIGH,NOT_TESTABLE,Auditoría de evidencia fuente; no se ejecutó comparación funcional de la plataforma en este subencargo de solo lectura.,Evidencia visual revisada individualmente: references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0003_00h16m17s000ms_stable_change.jpg; recorte: references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/detail_crops/CH08-E0003_00h16m17s000ms_DETAIL.jpg.
CH08-E0004,00:16:18.400,references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0004_00h16m18s400ms_abrupt_change.jpg,,Perfil administrativo / Cuentas por cobrar,"CH08-E0004 @ 00:16:18.400: La zona superior del perfil muestra Health manager, Referido por, Tipo Revenue, Tipo, Fecha de inicio, Días de duración y Forma de pago.",Health manager; Referido por; Tipo Revenue; Fecha inicio; Días duración; Forma pago,"La zona superior del perfil muestra Health manager, Referido por, Tipo Revenue, Tipo, Fecha de inicio, Días de duración y Forma de pago.",VISIBLE,HIGH,NOT_TESTABLE,Auditoría de evidencia fuente; no se ejecutó comparación funcional de la plataforma en este subencargo de solo lectura.,Evidencia visual revisada individualmente: references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0004_00h16m18s400ms_abrupt_change.jpg.
CH08-E0005,00:16:19.000,references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0005_00h16m19s000ms_stable_change.jpg,,Perfil administrativo / Cuentas por cobrar,"CH08-E0005 @ 00:16:19.000: La zona superior del perfil muestra Health manager, Referido por, Tipo Revenue, Tipo, Fecha de inicio, Días de duración y Forma de pago.",Health manager; Referido por; Tipo Revenue; Fecha inicio; Días duración; Forma pago,"La zona superior del perfil muestra Health manager, Referido por, Tipo Revenue, Tipo, Fecha de inicio, Días de duración y Forma de pago.",VISIBLE,HIGH,NOT_TESTABLE,Auditoría de evidencia fuente; no se ejecutó comparación funcional de la plataforma en este subencargo de solo lectura.,Evidencia visual revisada individualmente: references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0005_00h16m19s000ms_stable_change.jpg.
CH08-E0006,00:16:19.400,references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0006_00h16m19s400ms_abrupt_change.jpg,,Perfil administrativo / Cuentas por cobrar,"CH08-E0006 @ 00:16:19.400: La zona media muestra Aseguradora, Tipo de solicitud Reclamo, Categoría mayor, Subcategoría servicios, hospital de procedencia y Descripción.",Aseguradora; Reclamo; Categoría; Subcategoría; Hospital; Descripción,"La zona media muestra Aseguradora, Tipo de solicitud Reclamo, Categoría mayor, Subcategoría servicios, hospital de procedencia y Descripción.",VISIBLE,HIGH,NOT_TESTABLE,Auditoría de evidencia fuente; no se ejecutó comparación funcional de la plataforma en este subencargo de solo lectura.,Evidencia visual revisada individualmente: references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0006_00h16m19s400ms_abrupt_change.jpg.
CH08-E0007,00:16:20.000,references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0007_00h16m20s000ms_stable_change.jpg,,Perfil administrativo / Cuentas por cobrar,"CH08-E0007 @ 00:16:20.000: La zona media muestra Aseguradora, Tipo de solicitud Reclamo, Categoría mayor, Subcategoría servicios, hospital de procedencia y Descripción.",Aseguradora; Reclamo; Categoría; Subcategoría; Hospital; Descripción,"La zona media muestra Aseguradora, Tipo de solicitud Reclamo, Categoría mayor, Subcategoría servicios, hospital de procedencia y Descripción.",VISIBLE,HIGH,NOT_TESTABLE,Auditoría de evidencia fuente; no se ejecutó comparación funcional de la plataforma en este subencargo de solo lectura.,Evidencia visual revisada individualmente: references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0007_00h16m20s000ms_stable_change.jpg.
CH08-E0008,00:16:24.200,references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0008_00h16m24s200ms_motion_progress.jpg,references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/detail_crops/CH08-E0008_00h16m24s200ms_DETAIL.jpg,Perfil administrativo / Cuentas por cobrar,CH08-E0008 @ 00:16:24.200: El selector Aseguradora está desplegado y ofrece una aseguradora además de Seleccione.,Aseguradora; selector desplegado,El selector Aseguradora está desplegado y ofrece una aseguradora además de Seleccione.,VISIBLE,HIGH,NOT_TESTABLE,Auditoría de evidencia fuente; no se ejecutó comparación funcional de la plataforma en este subencargo de solo lectura.,Evidencia visual revisada individualmente: references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0008_00h16m24s200ms_motion_progress.jpg; recorte: references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/detail_crops/CH08-E0008_00h16m24s200ms_DETAIL.jpg.
CH08-E0009,00:16:25.200,references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0009_00h16m25s200ms_abrupt_change.jpg,references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/detail_crops/CH08-E0009_00h16m25s200ms_DETAIL.jpg,Perfil administrativo / Cuentas por cobrar,CH08-E0009 @ 00:16:25.200: La opción de aseguradora aparece resaltada dentro del selector desplegado.,Aseguradora; opción resaltada,La opción de aseguradora aparece resaltada dentro del selector desplegado.,VISIBLE,HIGH,NOT_TESTABLE,Auditoría de evidencia fuente; no se ejecutó comparación funcional de la plataforma en este subencargo de solo lectura.,Evidencia visual revisada individualmente: references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0009_00h16m25s200ms_abrupt_change.jpg; recorte: references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/detail_crops/CH08-E0009_00h16m25s200ms_DETAIL.jpg.
CH08-E0010,00:16:25.600,references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0010_00h16m25s600ms_abrupt_change.jpg,references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/detail_crops/CH08-E0010_00h16m25s600ms_DETAIL.jpg,Perfil administrativo / Cuentas por cobrar,"CH08-E0010 @ 00:16:25.600: El perfil conserva la aseguradora seleccionada y muestra Reclamo, categoría Hospitalización, subcategoría y hospital de procedencia.",Aseguradora seleccionada; Reclamo; Hospitalización; Subcategoría,"El perfil conserva la aseguradora seleccionada y muestra Reclamo, categoría Hospitalización, subcategoría y hospital de procedencia.",VISIBLE,HIGH,NOT_TESTABLE,Auditoría de evidencia fuente; no se ejecutó comparación funcional de la plataforma en este subencargo de solo lectura.,Evidencia visual revisada individualmente: references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0010_00h16m25s600ms_abrupt_change.jpg; recorte: references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/detail_crops/CH08-E0010_00h16m25s600ms_DETAIL.jpg.
CH08-E0011,00:16:30.000,references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0011_00h16m30s000ms_abrupt_change.jpg,,Perfil administrativo / Cuentas por cobrar,"CH08-E0011 @ 00:16:30.000: El perfil conserva la aseguradora seleccionada y muestra Reclamo, categoría Hospitalización, subcategoría y hospital de procedencia.",Aseguradora seleccionada; Reclamo; Hospitalización; Subcategoría,"El perfil conserva la aseguradora seleccionada y muestra Reclamo, categoría Hospitalización, subcategoría y hospital de procedencia.",VISIBLE,HIGH,NOT_TESTABLE,Auditoría de evidencia fuente; no se ejecutó comparación funcional de la plataforma en este subencargo de solo lectura.,Evidencia visual revisada individualmente: references/video-audit/chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos/event_frames/CH08-E0011_00h16m30s000ms_abrupt_change.jpg.
