segment_id,source_audio_segment,start_ms,end_ms,start,end,confidence_avg,quality_flags,text,chapter_local_start_ms,chapter_local_end_ms
T00028,audio_000,110000,112000,00:01:50.000,00:01:52.000,0.9982,NON_SPEECH,[MÚSICA],0,2000
T00029,audio_000,112000,114000,00:01:52.000,00:01:54.000,0.998,NON_SPEECH,[MÚSICA],2000,4000
T00030,audio_000,114000,116000,00:01:54.000,00:01:56.000,0.9971,NON_SPEECH,[MÚSICA],4000,6000
T00031,audio_000,116000,120000,00:01:56.000,00:02:00.000,0.4561,LOW_CONFIDENCE|NON_SPEECH,[Murmullos],6000,10000
T00032,audio_001,120000,130960,00:02:00.000,00:02:10.960,0.7198,,El va a parecer la pestaña de pacientes para crear nuevos pacientes que tienen la perspectiva,10000,20960
T00033,audio_001,130960,133960,00:02:10.960,00:02:13.960,0.8906,,y la inactiva.,20960,23960
T00034,audio_001,133960,143080,00:02:13.960,00:02:23.080,0.885,,Para crear uno paciente lleno de nuevo y nos muestra los datos a solicitar que aquí,23960,33080
T00035,audio_001,143080,150080,00:02:23.080,00:02:30.080,0.6759,MEDIUM_CONFIDENCE,"está bien el dúo, puede ser el paso por favor, puede ser el dúo.",33080,40080
T00036,audio_001,150080,159080,00:02:30.080,00:02:39.080,0.6938,MEDIUM_CONFIDENCE,"Te ponen el número el dúo, el nombre completo, la fecha de enciimiento, que es con la entrevistación,",40080,49080
T00037,audio_001,159080,168080,00:02:39.080,00:02:48.080,0.6663,MEDIUM_CONFIDENCE,"se ligue la opción cierre a menino masculino, el número de teléfono, tiene de en casa,",49080,58080
T00038,audio_001,168080,183080,00:02:48.080,00:03:03.080,0.6801,MEDIUM_CONFIDENCE,"el color electrónico, el enganción del tipo de sangre, Estados Unidos, nacionalidad, acá",58080,73080
T00039,audio_001,183080,189080,00:03:03.080,00:03:09.080,0.4553,LOW_CONFIDENCE,"está el número de elevaciones, ocupación.",73080,79080
T00040,audio_001,189080,196080,00:03:09.080,00:03:16.080,0.5974,MEDIUM_CONFIDENCE,"Igual a estos, solamente esta está como preciosa, sujeta, tiene que ser temada también el número",79080,86080
T00041,audio_001,196080,200080,00:03:16.080,00:03:20.080,0.488,LOW_CONFIDENCE,de duits y el del instelebre.,86080,90080
T00042,audio_001,200080,208080,00:03:20.080,00:03:28.080,0.7919,,"En esta parte también aparece la opción seleccional porque es aseguradora, es como",90080,98080
T00043,audio_001,208080,216080,00:03:28.080,00:03:36.080,0.6755,MEDIUM_CONFIDENCE,"es aseguradora que va a empezar, aquí aparecen todas las aseguradoras, seleccionan sin el",98080,106080
T00044,audio_001,216080,219080,00:03:36.080,00:03:39.080,0.7292,,caso de que fuera de como es aseguradoras.,106080,109080
T00045,audio_001,219080,228080,00:03:39.080,00:03:48.080,0.4416,LOW_CONFIDENCE,"Si hay como un asegurador, más con el.",109080,118080
T00046,audio_001,228080,234080,00:03:48.080,00:03:54.080,0.5781,MEDIUM_CONFIDENCE,¿El paciente es asegurada? Sí.,118080,124080
T00047,audio_001,234080,239080,00:03:54.080,00:03:59.080,0.7111,,"Y ya me despliegan las opciones para poder llenar con repólizas,",124080,129080
T00048,audio_001,239080,241080,00:03:59.080,00:04:01.080,0.5026,LOW_CONFIDENCE|NON_SPEECH,[MÚSICA],129080,131080
T00049,audio_002,240000,251000,00:04:00.000,00:04:11.000,0.6181,MEDIUM_CONFIDENCE,"La fecha de, la fecha rectil, fecha de sinistro asegurado, etc.",130000,141000
T00050,audio_002,251000,264000,00:04:11.000,00:04:24.000,0.6779,MEDIUM_CONFIDENCE,"Y aparte, apareciendo el nombre, el nombre de contacto, o la cual sabe, paciente, trata, se agrega, y aquí es donde va la dirección, paciente.",141000,154000
T00051,audio_002,264000,276000,00:04:24.000,00:04:36.000,0.7772,,Aquí solicita ubicación si es necesario la dirección o comentario de una referencia.,154000,166000
T00052,audio_002,276000,283000,00:04:36.000,00:04:43.000,0.5393,LOW_CONFIDENCE,La evaluación y le dan water y medicas supeas del paciente.,166000,173000
