segment_id,source_audio_segment,start_ms,end_ms,start,end,confidence_avg,quality_flags,text,chapter_local_start_ms,chapter_local_end_ms
T00166,audio_008,969000,976000,00:16:09.000,00:16:16.000,0.7045,,"Entonces, ya está aprobada, ya no es fría, aprobada, se lo pongo en la reducción porque está aprobada.",0,6000
T00167,audio_008,976000,985000,00:16:16.000,00:16:25.000,0.6816,MEDIUM_CONFIDENCE,"Entonces, cuando le pongo en la reducción, es donde metida, que, si es cuando queda sobradora, le selecciona,",6000,15000
T00168,audio_008,985000,991000,00:16:25.000,00:16:31.000,0.3949,LOW_CONFIDENCE,"ya es que, ahora le le gusta, ya no, y la venta de salud, la auto-matrizada, si, es solo, es solo.",15000,21000
T00169,audio_008,991000,1001000,00:16:31.000,00:16:41.000,0.724,,"Aquí es el día de servicio, para confirmar que son cinco, entonces, y aquí le doy cuartas.",21000,31000
T00170,audio_008,1003000,1010000,00:16:43.000,00:16:50.000,0.6356,MEDIUM_CONFIDENCE,"Han cambiado el papel, no, le doy cuartas, no me doy cuartas porque me activa.",33000,40000
T00171,audio_008,1010000,1017000,00:16:50.000,00:16:57.000,0.52,LOW_CONFIDENCE,"Sí, te voy a ver que tú estás ahí. Sí, porque está el nombre de usuario, con la enganada y el nombre de cuchara.",40000,47000
T00172,audio_008,1017000,1027000,00:16:57.000,00:17:07.000,0.7082,,"Esa es una parte de la democratización y está en la parte de cuentas por cobra,",47000,57000
T00173,audio_008,1027000,1031000,00:17:07.000,00:17:11.000,0.5863,MEDIUM_CONFIDENCE,"que es todo lo de los pacientes que ahora están activos, puede decir.",57000,61000
T00174,audio_008,1031000,1034000,00:17:11.000,00:17:14.000,0.6815,MEDIUM_CONFIDENCE,¿Qué tienen al proceso pendiente de Pablo?,61000,64000
T00175,audio_008,1034000,1044000,00:17:14.000,00:17:24.000,0.7257,,"Es activo que todavía están parados o que ya cancelan, pero tal vez aquí no hay un puesto finalizado.",64000,74000
T00176,audio_008,1044000,1049000,00:17:24.000,00:17:29.000,0.631,MEDIUM_CONFIDENCE,"Tendría que ser rellotado, para que ya se termine de culminar.",74000,79000
T00177,audio_008,1049000,1053000,00:17:29.000,00:17:33.000,0.4248,LOW_CONFIDENCE,"Pero acá, ya vamos a...",79000,83000
T00178,audio_008,1053000,1059000,00:17:33.000,00:17:39.000,0.6038,MEDIUM_CONFIDENCE,"Ahorita lleva 36.000, por curado.",83000,89000
T00179,audio_008,1059000,1064000,00:17:39.000,00:17:44.000,0.5965,MEDIUM_CONFIDENCE,¿Ven un instado de cuenta?,89000,94000
T00180,audio_008,1064000,1066000,00:17:44.000,00:17:46.000,0.3796,LOW_CONFIDENCE,No.,94000,96000
T00181,audio_008,1066000,1069000,00:17:46.000,00:17:49.000,0.7192,,¿Qué está pasando?,96000,99000
T00182,audio_008,1069000,1075000,00:17:49.000,00:17:55.000,0.5873,MEDIUM_CONFIDENCE,"No, no, esta está en cuanto a esta acción, no nos funcionaba, pero aquí está la data del Pablo.",99000,105000
T00183,audio_008,1075000,1077000,00:17:55.000,00:17:57.000,0.9715,,¿Quién ha estado pagando?,105000,107000
T00184,audio_008,1077000,1080000,00:17:57.000,00:18:00.000,0.6675,MEDIUM_CONFIDENCE,"Entonces, esta es la parte más percibida.",107000,110000
T00185,audio_009,1080000,1110000,00:18:00.000,00:18:30.000,0.9232,POSSIBLE_REPETITION,La vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna de la vacuna,110000,140000
T00186,audio_009,1110000,1117000,00:18:30.000,00:18:37.000,0.6232,MEDIUM_CONFIDENCE,"- Ya creo que sea normal, quizás hasta demanar automática. - Exacto, porque tienen eso de que, ""¿Cómo va la persona?""",140000,147000
T00187,audio_009,1117000,1122500,00:18:37.000,00:18:42.500,0.616,MEDIUM_CONFIDENCE,"Miren cuánto lleva, entonces hasta ahora nosotros también hay tres pacientes y los mismos pacientes están pidiendo,",147000,152500
T00188,audio_009,1122500,1130000,00:18:42.500,00:18:50.000,0.4956,LOW_CONFIDENCE,"y a la de capturación por la medicina, ellos dicen, ""¿Andan las armas?"" y para la medicina se lo hacen ya.",152500,160000
T00189,audio_009,1130000,1137000,00:18:50.000,00:18:57.000,0.6358,MEDIUM_CONFIDENCE,"- ¿Sí? - Entonces, para ver el estado de cuenta, aquí en el cuerpo, porque no tiene que ser real.",160000,167000
