"requirement_id","page","visible_label","expected_behavior","permission","current_handler","status","defect_ids"
"CH01-R005","Pacientes","Excel","Exporta el conjunto filtrado autorizado en un archivo utilizable.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","exportPatients","IMPLEMENTED_PARTIAL",""
"CH01-R006","Pacientes","Nuevo","Abre el alta de paciente únicamente para roles con patients:write.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","openPatientForm","IMPLEMENTED_PARTIAL",""
"CH01-R009","Pacientes","Anterior / 1 / 2 / 3 / Siguiente","Navega páginas reales, deshabilita límites y anuncia la página activa.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","renderPatients","IMPLEMENTED_EXACT","BASE-P1-008"
"CH01-R010","Pacientes","Encabezados ordenables","Ordena ascendente/descendente y expone aria-sort.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","renderPatients","IMPLEMENTED_EXACT","BASE-P1-008"
"CH01-R022","Shell","Menú","Alterna sidebar compacto/expandido en escritorio, conserva ruta y expone aria-expanded.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","toggle-sidebar","IMPLEMENTED_PARTIAL",""
"CH01-R023","Shell","Facturación / Clínica / Operaciones / Inventario / RRHH / Items y Maestros","Grupos jerárquicos se expanden por teclado/puntero y filtran submódulos por rol.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","renderNavigation","IMPLEMENTED_EXACT",""
"CH01-R035","Shell","Cerrar sesión","Invalida la sesión, audita y vuelve al login sin contenido protegido en historial.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","logout","IMPLEMENTED_PARTIAL",""
"CH01-R038","Login","Mostrar/ocultar clave","Alterna visibilidad sin cambiar valor, foco ni nombre accesible.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","toggle-password","IMPLEMENTED_PARTIAL",""
"CH01-R039","Login","Iniciar sesión","Crea sesión sólo con credenciales válidas y muestra error genérico en caso contrario.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","authenticate","IMPLEMENTED_PARTIAL","BASE-P0-001 | BASE-P0-002 | BASE-P0-003"
"CH01-R040","Login","Recuperar contraseña","Inicia recuperación real en server mode y una simulación no entregada en demo, siempre anti-enumeración.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","recoverPassword","IMPLEMENTED_PARTIAL","BASE-P1-014"
"CH01-R041","Login","Instalar en dispositivo","Aparece sólo cuando beforeinstallprompt está disponible y maneja aceptación/rechazo/instalado.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","beforeinstallprompt/install-pwa/appinstalled","IMPLEMENTED_PARTIAL","BASE-P1-016"
"CH02-R017","Paciente nuevo","Guardar","Valida, persiste en el alcance organizacional, audita y evita duplicados; el video no demuestra resultado, errores ni idempotencia exactos.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","createPatient","NOT_TESTABLE",""
"CH03-R001","Shell","Hospitalización / Cuentas por cobrar / Preautorizaciones & Reclamos","El grupo Facturación expone las tres rutas observadas con etiquetas y orden consistentes.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","navigation/renderNavigation","IMPLEMENTED_EXACT",""
"CH04-R009","Nueva cotización","+","Abre alta provisional explícita para la cotización sin crear un maestro productivo ni aceptar contenido clínico.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","openQuoteReferralForm","IMPLEMENTED_PARTIAL",""
"CH04-R015","Nueva cotización","Guardar","CH04 no ejecuta Guardar ni demuestra mensaje, estado o error final.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","createQuote","NOT_TESTABLE",""
"CH05-R007","Nueva cotización","Añadir","Añade el concepto seleccionado con cantidad válida, muestra procesamiento y evita una línea libre o sin catálogo.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","quote-add-item/validateQuoteItems","IMPLEMENTED_EXACT",""
"CH05-R018","Nueva cotización","Atrás","Regresa a Hospitalización sin ejecutar Guardar ni crear una cotización.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","renderQuoteModal","IMPLEMENTED_PARTIAL",""
"CH05-R019","Nueva cotización","Guardar","El capítulo no pulsa Guardar; su resultado, mensaje, versionado e idempotencia no pueden atribuirse al video.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","createQuote/create_quote_draft","NOT_TESTABLE",""
"CH06-R005","Nueva cotización","Precio / Cantidad / Añadir","Autocompleta precio no editable, exige cantidad positiva, añade el insumo, muestra procesamiento y restablece el compositor.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","quote-add-item/validateQuoteItems","IMPLEMENTED_EXACT",""
"CH06-R020","Nueva cotización","Atrás / Guardar","Presenta ambas acciones con las etiquetas observadas; Atrás regresa a Hospitalización y Guardar pasa las validaciones de la plataforma.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","renderQuoteModal/save-quote","IMPLEMENTED_EXACT",""
"CH06-R021","Nueva cotización","Guardar","El clip termina sobre Guardar sin mostrar confirmación, ruta ni error posterior; el resultado exacto no puede atribuirse al video.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","createQuote/create_quote_draft","NOT_TESTABLE",""
"CH07-R004","Hospitalización","Mostrar registros / Anterior / páginas / Siguiente","Pagina la colección filtrada, permite elegir tamaño y mantiene límites de página válidos.","Permiso explícito de lectura o escritura aplicado en navegación, control, store y persistencia.","renderCases/case-quote-page","IMPLEMENTED_EXACT",""
