chapter_id,title,description,start_seconds,end_seconds,clip_start_with_overlap,clip_end_with_overlap,duration_seconds,event_frames,detail_crops,safety_frames_1fps,expected_safety_frames,event_contact_sheets,safety_contact_sheets,directory
CH01,"Contexto inicial, acceso, dashboard y listado de pacientes","Referencias iniciales, inicio de sesión, dashboard y navegación al catálogo de pacientes.",0,110,0,111,110,24,11,111,111,3,7,chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes
CH02,Alta y edición de pacientes,"Datos personales, seguro, contactos, dirección, ubicación y confirmaciones.",110,282,109,283,172,82,48,173,173,10,11,chapters/CH02_alta_y_edicion_de_pacientes
CH03,Hospitalización y navegación de preautorizaciones,"Listado de hospitalizaciones, filtros, pestañas y entrada al flujo de cotización/seguro.",282,370,281,371,88,46,10,89,89,6,6,chapters/CH03_hospitalizacion_y_navegacion_de_preautorizaciones
CH04,Cotización: datos generales,"Paciente, factura, empresa, foco, descuento, seguro y comentarios.",370,445,369,446,75,35,30,76,76,4,5,chapters/CH04_cotizacion_datos_generales
CH05,"Cotización: servicios, estudios y medicamentos","Selección, búsqueda, precios, cantidades, disponibilidad y adición de conceptos.",445,680,444,681,235,87,71,236,236,10,15,chapters/CH05_cotizacion_servicios_estudios_y_medicamentos
CH06,"Cotización: insumos, equipos, honorarios, extras y totales","Resto de categorías, resumen, descuentos, cobertura y totalización.",680,865,679,866,185,115,75,186,186,13,12,chapters/CH06_cotizacion_insumos_equipos_honorarios_extras_y_totales
CH07,"Preautorización, seguro y reclamo","Estados de cotización, envío a seguro, respuesta, reclamo y seguimiento.",865,970,864,971,105,18,11,106,106,2,7,chapters/CH07_preautorizacion_seguro_y_reclamo
CH08,"Perfil administrativo, cuentas por cobrar y pagos","Perfil de ejecución, facturas, pagos, ajustes, impresión y estado de cuenta.",970,1260,969,1261,290,95,56,291,291,11,19,chapters/CH08_perfil_administrativo_cuentas_por_cobrar_y_pagos
CH09,Hospitalización clínica y reporte de salud,"Perfil clínico, diagnósticos, dispositivos, reportes y configuración del documento.",1260,1640,1259,1641,380,137,61,381,381,16,24,chapters/CH09_hospitalizacion_clinica_y_reporte_de_salud
CH10,"Orden médica, tratamientos y tarjeta de medicamentos","Creación de órdenes, tratamientos, indicaciones, tarjeta e historial de tratamientos.",1640,1895,1639,1896,255,114,67,256,256,13,16,chapters/CH10_orden_medica_tratamientos_y_tarjeta_de_medicamentos
CH11,Agenda y turnos,"Calendario, creación de turno, selección de paciente, recurso, fecha y tipo.",1895,2008,1894,2009,113,71,38,114,114,8,8,chapters/CH11_agenda_y_turnos
CH12,Cuentas por pagar y pagos de servicios,"Recursos, visitas, montos, estados, filtros y pago a proveedores o personal.",2008,2203,2007,2204,195,51,36,196,196,6,13,chapters/CH12_cuentas_por_pagar_y_pagos_de_servicios
CH13,Compras y compras al por mayor,"Nueva compra, proveedor, factura, ítems, cantidades, impuestos, descuentos y detalle.",2203,2392,2202,2393,189,92,44,190,190,11,12,chapters/CH13_compras_y_compras_al_por_mayor
CH14,"Inventario, movimientos, acuses, cierres, bodegas y kits","Existencias, movimientos, lotes/acuses, pacientes activos, cierres, bodegas y kits.",2392,2728,2391,2729,336,152,76,337,337,17,22,chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits
CH15,Acuse de inventario y catálogos de ítems,"Entrega/acuse e ítems maestros de medicamentos, insumos, estudios, honorarios y servicios.",2728,2983,2727,2984,255,148,56,256,256,17,16,chapters/CH15_acuse_de_inventario_y_catalogos_de_items
CH16,Descuentos y reglas por categoría,"Catálogo de descuentos y aplicación a servicios, medicamentos, equipos, insumos y honorarios.",2983,3070,2982,3071,87,44,19,88,88,5,6,chapters/CH16_descuentos_y_reglas_por_categoria
CH17,Reporte de salud detallado e impresión,"Secciones clínicas, antecedentes, evoluciones, alergias, configuración y salida imprimible.",3070,3270.96,3069,3270.96,200.96,48,21,201,201,6,13,chapters/CH17_reporte_de_salud_detallado_e_impresion
