segment_id,source_audio_segment,start_ms,end_ms,start,end,confidence_avg,quality_flags,text,chapter_local_start_ms,chapter_local_end_ms
T00150,audio_007,860000,870000,00:14:20.000,00:14:30.000,0.7621,,"Entonces aquí le doy guardar, me lo guarda, entonces me voy atrás por efectos de...",0,5000
T00151,audio_007,870000,876000,00:14:30.000,00:14:36.000,0.8094,,"y acá quedaría guardado, guardado pero todavía no activado.",5000,11000
T00152,audio_007,876000,884000,00:14:36.000,00:14:44.000,0.5255,LOW_CONFIDENCE,"Entonces qué pasa, si yo lo busco acá, habrá algo, ahora se te lo...",11000,19000
T00153,audio_007,884000,892000,00:14:44.000,00:14:52.000,0.6161,MEDIUM_CONFIDENCE,"va, esta es la cotización de él, esa es la peliéndola de la idea de imprimir.",19000,27000
T00154,audio_007,892000,899000,00:14:52.000,00:14:59.000,0.3872,LOW_CONFIDENCE,"Y como se lo escribimos, vaya, me lo imprimí.",27000,34000
T00155,audio_007,899000,902000,00:14:59.000,00:15:02.000,0.6172,MEDIUM_CONFIDENCE,Esto se lo puedo calgar mejor.,34000,37000
T00156,audio_007,902000,905000,00:15:02.000,00:15:05.000,0.6497,MEDIUM_CONFIDENCE,Para mandarle al cliente.,37000,40000
T00157,audio_007,905000,911000,00:15:05.000,00:15:11.000,0.8156,,"Ah, exacto, se lo manda al cliente para que sea aprobada.",40000,46000
T00158,audio_007,911000,923000,00:15:11.000,00:15:23.000,0.7593,,"Que vaya, voy, lo podría extender ahí, por ejemplo, en lugar de eso, una vez se cree que el mismo sistema se le viera.",46000,58000
T00159,audio_007,923000,934000,00:15:23.000,00:15:34.000,0.7048,,"Y él cree el PDF en lugar de que lo descargue, lo va a desnaccer a la PDF y buscas en WhatsApp.",58000,69000
T00160,audio_007,934000,942000,00:15:34.000,00:15:42.000,0.7498,,Y esa vaina y después tendrás que juntar la cosa y si lo envías mejor lo picas y te cree el PDF y te envías.,69000,77000
T00161,audio_007,942000,945000,00:15:42.000,00:15:45.000,0.7851,,Eso debería ser.,77000,80000
T00162,audio_007,945000,951000,00:15:45.000,00:15:51.000,0.625,MEDIUM_CONFIDENCE,"Vale, entonces, ahí tenemos la parte de cotización.",80000,86000
T00163,audio_007,951000,953000,00:15:51.000,00:15:53.000,0.5399,LOW_CONFIDENCE,"Qué pasa, si...",86000,88000
T00164,audio_007,953000,960000,00:15:53.000,00:16:00.000,0.6805,MEDIUM_CONFIDENCE,"Ahí te predigues, entonces deberías parecer pendiente, no enviado, enviar por WhatsApp, para que ya es una vez.",88000,95000
T00165,audio_008,960000,969000,00:16:00.000,00:16:09.000,0.6285,MEDIUM_CONFIDENCE,"Acá, ¿qué pasa? Si yo sigo autorización sin promoción, me doy aquí, en clandestado.",95000,104000
T00166,audio_008,969000,976000,00:16:09.000,00:16:16.000,0.7045,,"Entonces, ya está aprobada, ya no es fría, aprobada, se lo pongo en la reducción porque está aprobada.",104000,111000
