defect_id,severity,area,summary,reproduction,expected,actual,evidence,status
BASE-P0-001,P0,authentication,"Correo desconocido y contraseña incorrecta autentican como ADMIN","Abrir SPA; escribir desconocido@example.test / Incorrecta!; enviar","Respuesta genérica; sesión no creada","Corregido: authenticate exige usuario demo conocido y Demo2026!; error genérico","app/store.js; tests/ch01-parity.test.mjs; tests/e2e/ch01.spec.mjs",CLOSED
BASE-P0-002,P0,authentication,"La contraseña de un usuario conocido no se valida","Abrir SPA; escribir admin@analiza.demo / Incorrecta!; enviar","Sesión rechazada","Corregido: contraseña incorrecta no crea sesión","app/store.js; tests/ch01-parity.test.mjs",CLOSED
BASE-P0-003,P0,standalone,"La demo autónoma reproduce el bypass de login","Abrir Analiza_en_Casa_Demo_QA.html; usar credenciales arbitrarias","Sesión rechazada","Corregido en fuente y build standalone generado","app/store.js; standalone/Analiza_en_Casa_Demo_QA.html; npm run check",CLOSED
BASE-P0-004,P0,standalone_portal,"El OTP standalone depende de /api y falla desde file://","Abrir #/portal/demo-qt-2026-0148; solicitar y verificar código","OTP sintético claramente marcado y funcional","Corregido: flujo file:// usa OTP sintético 202626, respuesta genérica y ninguna llamada de red","app/main.js; tests/e2e/ch01.spec.mjs",CLOSED
BASE-P0-005,P0,permissions,"AUDITOR recibe controles de escritura","Entrar como auditoria@analiza.demo; abrir rutas mutadoras","Vista de solo lectura sin controles mutadores","Corregido: navegación, controles y store exigen permisos explícitos","app/views.js; app/store.js; tests/ch01-parity.test.mjs; tests/e2e/ch01.spec.mjs",CLOSED
BASE-P1-006,P1,patients,"Faltan pestañas Activos/Inactivos/Carga masiva","Abrir #/pacientes","Tres pestañas observadas en CH01","Corregido: tres pestañas visibles y funcionales bajo permiso","app/views.js; app/main.js; tests/e2e/ch01.spec.mjs",CLOSED
BASE-P1-007,P1,patients,"Columnas de pacientes no coinciden con CH01","Abrir #/pacientes y comparar encabezados","Acciones; Documento; Nombre completo; Edad; Empresa; Triage; Notif. Botmaker; Estado","Corregido con columnas y datos sintéticos; Botmaker no envía contenido clínico","app/views.js; tests/e2e/ch01.spec.mjs",CLOSED
BASE-P1-008,P1,patients,"No existe paginación ni selector de cantidad","Abrir #/pacientes","Selector; Anterior; páginas numeradas; Siguiente","Corregido: selector y paginación real con límites","app/views.js; app/main.js; tests/e2e/ch01.spec.mjs",CLOSED
BASE-P1-009,P1,patients,"Filtro de estado no filtra","Abrir #/pacientes; seleccionar ACTIVE o INACTIVE","Filas y contador cambian","Corregido mediante pestañas activas/inactivas y estado UI","app/views.js; app/main.js; tests/e2e/ch01.spec.mjs",CLOSED
BASE-P1-010,P1,hospitalizations,"Filtro de estado no filtra","Abrir #/hospitalizaciones; cambiar estado","Filas y contador cambian","Corregido con filtros aplicables y limpieza","app/views.js; app/main.js; tests/ch03-hospitalization.test.mjs; tests/e2e/ch03.spec.mjs",CLOSED
BASE-P1-011,P1,patients,"Estados de carga/error no están modelados","Abrir listado durante carga o provocar error de fuente","Carga, vacío y error diferenciados","Corregido sin reproducir el defecto del video que superpone Cargando y vacío","app/views.js; tests/ch01-parity.test.mjs",CLOSED
BASE-P1-012,P1,dashboard,"Métricas no corresponden a las seis tarjetas de CH01","Abrir #/dashboard","Alertas; activos; tratamientos actualizados/por finalizar; planes; incidentes","Superficie de seis métricas implementada; umbrales y fórmulas clínicas siguen bloqueados por cliente","app/views.js; docs/OPEN_QUESTIONS.md; tests/e2e/ch01.spec.mjs",PARTIAL_CLIENT_BLOCKED
BASE-P1-013,P1,dashboard,"Falta tabla de valores fuera de rango","Abrir #/dashboard","Tabla FC/FR/oxígeno/presión/temperatura/dolor/glicemia/fecha/recurso","Tabla implementada con datos sintéticos; clasificación clínica permanece sin reglas inferidas","app/views.js; docs/OPEN_QUESTIONS.md; tests/e2e/ch01.spec.mjs",PARTIAL_CLIENT_BLOCKED
BASE-P1-014,P1,authentication,"Falta recuperación de contraseña","Cerrar sesión y revisar login","Enlace/acción de recuperación","Corregido: control visible y respuesta genérica; producción delega en Supabase","app/views.js; app/main.js; tests/e2e/ch01.spec.mjs",CLOSED
BASE-P1-015,P1,user_menu,"Falta contexto equivalente de organización y Mi usuario","Abrir menú de usuario","Organización; Mi usuario; Cerrar sesión","Corregido con contexto de organización y perfil autorizado","app/views.js; app/main.js; tests/e2e/ch01.spec.mjs",CLOSED
BASE-P1-016,P1,pwa,"Instalación PWA no está demostrada","Abrir login y comprobar install prompt/service worker","Opción sólo si instalación funciona","Corregido: control sólo aparece tras beforeinstallprompt y no simula instalación","app/main.js; app/views.js; tests/ch01-parity.test.mjs",CLOSED
BASE-P0-017,P0,placeholders,"Acciones placeholder aparentan operación","Activar importar, kit, administrar medicamento u otra acción sin contrato","Operación real o control bloqueado con explicación","Corregido: acciones inseguras fallan o quedan bloqueadas sin mutar ni afirmar éxito; kit CH14 incluido","app/main.js; app/store.js; tests/p0-immutable-records.test.mjs; tests/ch14-inventory-boundaries.test.mjs",CLOSED
BASE-P1-018,P1,qa_traceability,"Pantalla QA usa datos embebidos en seed","Abrir #/qa-cobertura y comparar fuente","Generada desde EXACT_VIDEO_PARITY_MATRIX.json","La matriz canónica se genera, pero la pantalla legacy aún usa el estado mock embebido","app/mock-data.js; app/views.js; docs/parity/EXACT_VIDEO_PARITY_MATRIX.json",OPEN
CH14-P0-001,P0,inventory_lot_integrity,"Modo local permitía mover ítems trazables sin reconciliar lotes","Aplicar consumo, traslado o ajuste local a un catálogo requiresLot","Bloqueo o transacción atómica con lote, vencimiento y cantidad","Corregido: local bloquea antes de mutar; Supabase usa RPC tenant-safe, idempotente y transaccional","app/store.js; supabase/migrations/202608260006_p0_notifications_payments_inventory.sql; tests/ch14-inventory-boundaries.test.mjs",CLOSED
CH14-P0-002,P0,inventory_remote_confirmation,"Movimiento Supabase podía reflejar éxito local antes de confirmación","Forzar error de apply_inventory_movement_v2","Sin cambio local ni cierre del formulario","Corregido: requiredSync, propagación de error e ID remoto antes del commit local","app/store.js; app/supabase-adapter.js; app/main.js; tests/ch14-inventory-boundaries.test.mjs",CLOSED
CH14-P0-003,P0,inventory_rls,"Tablas hijas y DML directo de inventario/cierres/kits requerían cierre tenant-safe","Intentar lectura cruzada o DML directo como authenticated","RLS por padre/tenant y mutación sólo por RPC autorizada","Migración creada; validación estática PASS, ejecución real pendiente de entorno Supabase","supabase/migrations/202608270010_ch14_inventory_boundaries.sql; tests/ch14-inventory-boundaries.test.mjs",IMPLEMENTED_PARTIAL_RUNTIME_PENDING
