requirement_id,module,feature,detailed_behavior,evidence_type,chapter_id,event_ids,timestamps,evidence_paths,classification,confidence,test_path,open_question_ids
CH01-F001,navegacion,Acceso mediante ruta directa al módulo de pacientes,Un enlace externo apunta a /pacientes.php y el producto muestra la lista cuando existe sesión.,INFERRED,CH01,CH01-E0002,00:00:05.600,references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0002_00h00m05s600ms_abrupt_change.jpg | references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/detail_crops/CH01-E0002_00h00m05s600ms_DETAIL.jpg,INFERRED,MEDIUM,#/dashboard; #/pacientes; npm test,CH01-Q001
CH01-F002,pantallas,Listado de pacientes,"Pantalla Pacientes con pestañas Activos, Inactivos y Carga masiva.",VISIBLE,CH01,CH01-E0009,00:00:56.200,references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0009_00h00m56s200ms_abrupt_change.jpg,VISIBLE,HIGH,#/dashboard; #/pacientes; npm test,
CH01-F003,tablas_columnas,Columnas del catálogo de pacientes,"Acción por fila, Documento, Nombre completo, Edad, Empresa, Triage, Notif. Botmaker y Estado.",VISIBLE,CH01,CH01-E0012,00:01:25.000,references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0012_00h01m25s000ms_abrupt_change.jpg,VISIBLE,HIGH,#/dashboard; #/pacientes; npm test,
CH01-F004,busquedas_filtros,Búsqueda y paginación de pacientes,"Campo de búsqueda, selector de registros y navegación Anterior/1/2/3/Siguiente.",VISIBLE,CH01,CH01-E0013,00:01:26.800,references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0013_00h01m26s800ms_settled.jpg | references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/detail_crops/CH01-E0013_00h01m26s800ms_DETAIL.jpg,VISIBLE,HIGH,#/dashboard; #/pacientes; npm test,
CH01-F005,acciones,Exportar y crear paciente,Acciones Excel y + Nuevo disponibles en la cabecera.,VISIBLE,CH01,CH01-E0009,00:00:56.200,references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0009_00h00m56s200ms_abrupt_change.jpg,VISIBLE,HIGH,#/dashboard; #/pacientes; npm test,
CH01-F006,estados_transiciones,Estados de carga y vacío de tabla,La tabla muestra Cargando... y No hay registros disponibles antes de presentar filas.,VISIBLE,CH01,CH01-E0011,00:01:24.600,references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0011_00h01m24s600ms_abrupt_change.jpg,VISIBLE,HIGH,#/dashboard; #/pacientes; npm test,CH01-Q004
CH01-F007,estados,"Indicadores de triage, notificación y estado","Cada fila muestra triage, controles de notificación y estado Activo.",VISIBLE,CH01,CH01-E0012,00:01:25.000,references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0012_00h01m25s000ms_abrupt_change.jpg,VISIBLE,HIGH,#/dashboard; #/pacientes; npm test,
CH01-F008,navegacion,Menú lateral colapsable y jerárquico,"Dashboard, Pacientes, Facturación, Clínica, Operaciones, Inventario, RRHH, Items y Maestros, con submódulos visibles.",VISIBLE,CH01,CH01-E0014,00:01:28.800,references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0014_00h01m28s800ms_abrupt_change.jpg,VISIBLE,HIGH,#/dashboard; #/pacientes; npm test,CH01-Q005
CH01-F009,pantallas,Dashboard operativo,"Seis tarjetas resumen pacientes con alertas, pacientes activos, tratamientos actualizados, tratamientos por finalizar, planes de cuidado e incidentes.",VISIBLE,CH01,CH01-E0018,00:01:31.400,references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0018_00h01m31s400ms_abrupt_change.jpg,VISIBLE,HIGH,#/dashboard; #/pacientes; npm test,CH01-Q002
CH01-F010,tablas_columnas,Pacientes con valores fuera de rango,"Sección con columnas Acciones, Paciente, FC, FR, Oxígeno, Sistólica, Diastólica, Temp, Dolor, Glicemia, Fecha y Recurso, y etiqueta Normales.",VISIBLE,CH01,CH01-E0019,00:01:32.000,references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0019_00h01m32s000ms_stable_change.jpg,VISIBLE,MEDIUM,#/dashboard; #/pacientes; npm test,CH01-Q003
CH01-F011,perfil_permisos,Menú de usuario y contexto organizacional,"Menú con organización, Mi usuario y Cerrar Sesión.",VISIBLE,CH01,CH01-E0020,00:01:38.400,references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0020_00h01m38s400ms_motion_progress.jpg | references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/detail_crops/CH01-E0020_00h01m38s400ms_DETAIL.jpg,VISIBLE,HIGH,#/dashboard; #/pacientes; npm test,
CH01-F012,autenticacion,Cierre de sesión,Cerrar Sesión lleva directamente a la pantalla de login.,VISIBLE,CH01,CH01-E0022,00:01:41.800,references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0022_00h01m41s800ms_abrupt_change.jpg,VISIBLE,HIGH,#/dashboard; #/pacientes; npm test,
CH01-F013,formularios_campos,Formulario de inicio de sesión,"Campos Usuario y Clave, botón Iniciar sesión y enlace de recuperación.",VISIBLE,CH01,CH01-E0023,00:01:42.400,references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0023_00h01m42s400ms_stable_change.jpg | references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/detail_crops/CH01-E0023_00h01m42s400ms_DETAIL.jpg,VISIBLE,HIGH,#/dashboard; #/pacientes; npm test,
CH01-F014,integraciones,Instalación en dispositivo aparente,"El login ofrece Instalar en dispositivo, compatible visualmente con una PWA.",INFERRED,CH01,CH01-E0023,00:01:42.400,references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0023_00h01m42s400ms_stable_change.jpg | references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/detail_crops/CH01-E0023_00h01m42s400ms_DETAIL.jpg,INFERRED,MEDIUM,#/dashboard; #/pacientes; npm test,
CH02-F001,navegacion,Ruta autenticada hasta Pacientes,"El capítulo muestra login, dashboard y entrada al listado de pacientes antes de iniciar un alta.",VISIBLE,CH02,CH02-E0005,00:02:05.200,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0005_00h02m05s200ms_abrupt_change.jpg,VISIBLE,HIGH,#/pacientes; npm test,
CH02-F002,pantallas,Listado de pacientes con vistas y acciones,"Incluye Activos, Inactivos, Carga masiva, Excel, + Nuevo, búsqueda, paginación y tabla con datos operativos.",VISIBLE,CH02,CH02-E0008,00:02:07.000,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0008_00h02m07s000ms_stable_change.jpg,VISIBLE,HIGH,#/pacientes; npm test,
CH02-F003,formularios_campos,Formulario de alta por secciones,"La pantalla Paciente nuevo organiza Datos generales, Información del seguro, Contactos y Dirección.",VISIBLE,CH02,CH02-E0009,00:02:17.000,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0009_00h02m17s000ms_abrupt_change.jpg,VISIBLE,HIGH,#/pacientes; npm test,
CH02-F004,formularios_campos,Datos personales obligatorios y opcionales,"Tipo de documento, Documento, Nombre completo, Fecha de nacimiento, Sexo, Teléfono celular y Empresa muestran asterisco; teléfono de casa, correo, jubilado, tipo de sangre, estado civil, nacionalidad y ocupación no lo muestran.",VISIBLE,CH02,CH02-E0011,00:02:17.800,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0011_00h02m17s800ms_abrupt_change.jpg,VISIBLE,HIGH,#/pacientes; npm test,CH02-Q002
CH02-F005,catalogos_selectores,Documento y fecha de nacimiento,Tipo de documento ofrece Cédula o Pasaporte y la fecha utiliza selector de calendario con representación YYYY-MM-DD.,VISIBLE,CH02,CH02-E0012,00:02:23.400,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0012_00h02m23s400ms_motion_progress.jpg | references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0012_00h02m23s400ms_DETAIL.jpg,VISIBLE,HIGH,#/pacientes; npm test,CH02-Q001
CH02-F006,catalogos_selectores,Selectores demográficos y organizacionales,"El formulario incluye Sexo, Tipo de sangre, Estado civil, Nacionalidad buscable y Empresa.",VISIBLE,CH02,CH02-E0024,00:03:00.400,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0024_00h03m00s400ms_abrupt_change.jpg | references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0024_00h03m00s400ms_DETAIL.jpg,VISIBLE,HIGH,#/pacientes; npm test,
CH02-F007,notificaciones,Consentimiento visible para notificaciones Botmaker/WhatsApp,Una casilla marcada por defecto autoriza notificaciones automáticas por WhatsApp mediante Botmaker; el texto advierte que desmarcarla impide notificaciones al asignar visitas o recursos.,VISIBLE,CH02,CH02-E0022,00:02:57.200,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0022_00h02m57s200ms_settled.jpg | references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0022_00h02m57s200ms_DETAIL.jpg,VISIBLE,HIGH,#/pacientes; npm test,CH02-Q003
CH02-F008,seguros,Paciente regular frente a paciente asegurado,La narración distingue el valor inicial Paciente regular de la selección de una aseguradora para un paciente cubierto.,VERBAL,CH02,CH02-E0031,00:03:26.000,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0031_00h03m26s000ms_abrupt_change.jpg | references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0031_00h03m26s000ms_DETAIL.jpg,VERBAL,MEDIUM,#/pacientes; npm test,
